user_id,registration_date,device_type,acquisition_channel,age_group
128,2026-07-31,iOS,Paid Social,45+
129,2026-07-27,Android,Paid Social,35-44
130,2026-07-22,Android,Organic,35-44
131,2026-06-05,Android,Paid Social,45+
132,2026-05-14,Android,Search,45+
133,2026-07-27,Android,Paid Social,45+
134,2026-08-02,iOS,Organic,35-44
135,2026-05-16,Android,Organic,25-34
136,2026-06-21,Android,Paid Social,25-34
137,2026-05-15,iOS,Organic,18-24
138,2026-07-16,iOS,Search,18-24
139,2026-07-16,Android,Search,25-34
140,2026-05-20,Android,Search,45+
141,2026-06-20,iOS,Paid Social,18-24
142,2026-06-27,iOS,Search,25-34
143,2026-06-01,iOS,Search,18-24
144,2026-07-26,iOS,Organic,45+
145,2026-06-16,iOS,Search,35-44
146,2026-05-28,Android,Search,45+
147,2026-06-26,iOS,Search,45+
148,2026-07-13,Android,Paid Social,35-44
149,2026-05-27,Android,Paid Social,35-44
150,2026-06-06,Android,Organic,35-44
151,2026-08-06,iOS,Referral,35-44
152,2026-07-06,Android,Organic,25-34
153,2026-06-17,iOS,Paid Social,45+
154,2026-06-24,iOS,Paid Social,18-24
155,2026-05-19,Android,Search,35-44
156,2026-05-29,Android,Search,18-24
157,2026-06-08,iOS,Search,45+
158,2026-06-30,iOS,Search,45+
159,2026-05-29,iOS,Referral,35-44
160,2026-05-28,Android,Search,25-34
161,2026-05-15,Android,Paid Social,35-44
162,2026-07-04,Android,Search,18-24
163,2026-05-29,Android,Referral,45+
164,2026-07-29,iOS,Search,25-34
165,2026-07-25,iOS,Search,18-24
166,2026-05-15,iOS,Search,25-34
167,2026-05-30,Android,Paid Social,18-24
168,2026-07-08,Android,Search,35-44
169,2026-05-28,iOS,Search,35-44
170,2026-05-20,Android,Search,35-44
171,2026-08-01,Android,Referral,18-24
172,2026-06-29,Android,Organic,18-24
173,2026-06-20,Android,Paid Social,18-24
174,2026-07-18,iOS,Organic,25-34
175,2026-07-20,iOS,Organic,25-34
176,2026-05-26,iOS,Paid Social,45+
177,2026-05-17,iOS,Paid Social,45+
178,2026-06-16,Android,Referral,25-34
179,2026-06-16,iOS,Paid Social,35-44
180,2026-06-20,iOS,Organic,35-44
181,2026-07-13,Android,Search,25-34
182,2026-07-08,iOS,Paid Social,18-24
183,2026-08-05,Android,Organic,18-24
184,2026-05-17,Android,Search,35-44
185,2026-06-14,iOS,Referral,18-24
186,2026-06-08,Android,Search,18-24
187,2026-07-25,Android,Referral,45+
188,2026-05-31,iOS,Search,25-34
189,2026-05-26,Android,Search,45+
190,2026-06-18,Android,Referral,35-44
191,2026-06-15,iOS,Organic,35-44
192,2026-06-03,Android,Paid Social,45+
193,2026-05-31,Android,Referral,18-24
194,2026-07-31,Android,Referral,25-34
195,2026-06-17,Android,Paid Social,35-44
196,2026-07-25,Android,Referral,35-44
197,2026-06-27,Android,Organic,25-34
198,2026-05-13,iOS,Paid Social,45+
199,2026-08-06,Android,Paid Social,45+
200,2026-07-23,Android,Search,18-24
201,2026-08-04,iOS,Referral,25-34
202,2026-07-31,Android,Paid Social,35-44
203,2026-07-24,Android,Search,35-44
204,2026-05-23,Android,Referral,35-44
205,2026-06-21,Android,Referral,35-44
206,2026-05-28,Android,Paid Social,18-24
207,2026-06-14,iOS,Referral,18-24
208,2026-05-14,iOS,Paid Social,25-34
209,2026-06-12,Android,Referral,35-44
210,2026-08-05,iOS,Paid Social,35-44
211,2026-06-01,iOS,Referral,25-34
212,2026-07-18,Android,Organic,25-34
213,2026-06-18,Android,Organic,18-24
214,2026-06-16,Android,Paid Social,45+
215,2026-08-03,iOS,Organic,35-44
216,2026-08-06,Android,Search,45+
217,2026-06-28,Android,Paid Social,18-24
218,2026-07-12,Android,Search,18-24
219,2026-05-22,iOS,Search,45+
220,2026-06-04,iOS,Organic,25-34
221,2026-08-04,iOS,Referral,18-24
222,2026-06-30,iOS,Organic,45+
223,2026-06-26,iOS,Search,45+
224,2026-07-15,Android,Referral,45+
225,2026-05-14,Android,Organic,18-24
226,2026-06-30,iOS,Paid Social,35-44
227,2026-06-23,iOS,Paid Social,25-34
228,2026-07-24,iOS,Organic,25-34
229,2026-05-23,iOS,Search,45+
230,2026-08-03,Android,Referral,18-24
231,2026-05-16,iOS,Referral,35-44
232,2026-05-25,Android,Organic,25-34
233,2026-07-01,Android,Paid Social,45+
234,2026-07-08,iOS,Paid Social,25-34
235,2026-05-30,Android,Paid Social,18-24
236,2026-05-19,iOS,Paid Social,35-44
237,2026-07-28,Android,Search,18-24
238,2026-05-31,Android,Referral,45+
239,2026-07-01,Android,Search,45+
240,2026-07-03,iOS,Organic,45+
241,2026-06-15,Android,Referral,18-24
242,2026-06-30,iOS,Paid Social,18-24
243,2026-06-25,Android,Organic,25-34
244,2026-08-01,Android,Search,35-44
245,2026-05-27,iOS,Search,45+
246,2026-07-12,iOS,Search,35-44
247,2026-05-30,Android,Referral,35-44
248,2026-06-13,iOS,Paid Social,35-44
249,2026-07-08,Android,Search,35-44
250,2026-06-04,Android,Organic,45+
251,2026-06-06,iOS,Referral,35-44
252,2026-07-15,Android,Organic,45+
253,2026-05-15,iOS,Search,45+
254,2026-06-19,iOS,Paid Social,35-44
255,2026-08-06,Android,Search,18-24
256,2026-08-06,iOS,Referral,25-34
257,2026-05-15,Android,Search,45+
258,2026-05-28,iOS,Organic,25-34
259,2026-06-01,iOS,Referral,18-24
260,2026-07-31,Android,Organic,25-34
261,2026-07-27,iOS,Search,18-24
262,2026-07-27,iOS,Search,35-44
263,2026-06-11,Android,Search,45+
264,2026-05-23,Android,Paid Social,45+
265,2026-07-23,iOS,Search,25-34
266,2026-07-11,iOS,Organic,35-44
267,2026-07-03,Android,Referral,35-44
268,2026-08-05,iOS,Referral,35-44
269,2026-07-06,Android,Paid Social,45+
270,2026-05-09,Android,Referral,35-44
271,2026-07-21,Android,Search,35-44
272,2026-06-04,iOS,Paid Social,45+
273,2026-07-07,iOS,Search,18-24
274,2026-08-01,Android,Search,45+
275,2026-05-21,Android,Paid Social,45+
276,2026-05-19,iOS,Paid Social,35-44
277,2026-05-18,iOS,Search,18-24
278,2026-06-27,Android,Organic,25-34
279,2026-06-02,Android,Paid Social,18-24
280,2026-07-02,Android,Referral,35-44
281,2026-07-12,Android,Organic,35-44
282,2026-05-27,Android,Referral,45+
283,2026-07-05,iOS,Organic,25-34
284,2026-06-01,Android,Paid Social,18-24
285,2026-06-21,Android,Organic,18-24
286,2026-07-29,Android,Paid Social,35-44
287,2026-07-24,iOS,Organic,35-44
288,2026-05-17,iOS,Referral,35-44
289,2026-06-16,Android,Search,25-34
290,2026-06-02,iOS,Search,25-34
291,2026-05-09,iOS,Paid Social,18-24
292,2026-07-17,Android,Paid Social,45+
293,2026-07-05,iOS,Paid Social,45+
294,2026-06-01,Android,Search,35-44
295,2026-07-14,iOS,Search,35-44
296,2026-06-27,iOS,Organic,45+
297,2026-06-16,Android,Referral,45+
298,2026-05-09,Android,Search,35-44
299,2026-05-15,iOS,Search,45+
300,2026-07-27,iOS,Paid Social,45+
301,2026-07-29,Android,Referral,35-44
302,2026-06-27,iOS,Search,35-44
303,2026-07-23,iOS,Organic,45+
304,2026-06-30,Android,Paid Social,35-44
305,2026-05-22,iOS,Paid Social,35-44
306,2026-05-20,iOS,Organic,18-24
307,2026-06-05,Android,Search,18-24
308,2026-07-28,Android,Paid Social,18-24
309,2026-07-19,Android,Referral,45+
310,2026-07-25,iOS,Paid Social,25-34
311,2026-07-28,Android,Referral,25-34
312,2026-05-27,Android,Search,35-44
313,2026-05-31,Android,Organic,45+
314,2026-05-18,iOS,Paid Social,25-34
315,2026-07-18,Android,Referral,18-24
316,2026-07-27,Android,Organic,35-44
317,2026-06-14,iOS,Search,35-44
318,2026-07-03,Android,Search,35-44
319,2026-05-22,iOS,Paid Social,45+
320,2026-07-31,iOS,Referral,25-34
321,2026-07-25,iOS,Search,35-44
322,2026-08-04,Android,Organic,25-34
323,2026-07-20,iOS,Organic,35-44
324,2026-07-27,Android,Organic,18-24
325,2026-05-11,iOS,Paid Social,45+
326,2026-07-14,Android,Referral,45+
327,2026-06-07,iOS,Search,18-24
328,2026-07-31,Android,Search,35-44
329,2026-07-20,iOS,Referral,25-34
330,2026-07-25,Android,Search,25-34
331,2026-07-20,Android,Organic,35-44
332,2026-06-02,Android,Organic,45+
333,2026-07-18,Android,Paid Social,18-24
334,2026-05-18,Android,Organic,25-34
335,2026-07-26,iOS,Organic,35-44
336,2026-07-25,iOS,Paid Social,25-34
337,2026-05-29,iOS,Paid Social,25-34
338,2026-07-21,iOS,Referral,25-34
339,2026-06-19,iOS,Referral,25-34
340,2026-06-05,iOS,Referral,25-34
341,2026-07-19,iOS,Organic,25-34
342,2026-05-29,iOS,Referral,25-34
343,2026-05-11,Android,Organic,25-34
344,2026-05-26,Android,Organic,25-34
345,2026-06-07,Android,Organic,18-24
346,2026-07-25,Android,Search,35-44
347,2026-08-04,iOS,Search,25-34
348,2026-06-03,iOS,Referral,45+
349,2026-07-05,iOS,Organic,45+
350,2026-06-13,Android,Search,18-24
351,2026-08-05,Android,Search,18-24
352,2026-06-26,iOS,Referral,25-34
353,2026-08-01,iOS,Paid Social,35-44
354,2026-05-19,Android,Search,35-44
355,2026-08-04,Android,Search,18-24
356,2026-05-25,iOS,Paid Social,45+
357,2026-08-03,Android,Paid Social,45+
358,2026-06-01,Android,Search,45+
359,2026-05-18,Android,Organic,35-44
360,2026-06-17,Android,Referral,35-44
361,2026-07-13,Android,Paid Social,45+
362,2026-06-06,iOS,Organic,18-24
363,2026-07-02,iOS,Search,18-24
364,2026-06-24,Android,Paid Social,18-24
365,2026-06-12,Android,Organic,45+
366,2026-06-29,Android,Search,18-24
367,2026-05-31,Android,Referral,35-44
368,2026-07-11,iOS,Paid Social,25-34
369,2026-05-09,Android,Paid Social,18-24
370,2026-07-31,Android,Referral,18-24
371,2026-06-26,Android,Paid Social,45+
372,2026-07-12,iOS,Referral,18-24
373,2026-07-14,iOS,Referral,35-44
374,2026-07-08,Android,Referral,18-24
375,2026-06-10,iOS,Paid Social,45+
376,2026-05-15,iOS,Paid Social,18-24
377,2026-07-07,iOS,Paid Social,45+
378,2026-06-07,Android,Search,35-44
379,2026-06-06,iOS,Referral,35-44
380,2026-07-24,Android,Organic,18-24
381,2026-07-12,iOS,Paid Social,18-24
382,2026-06-05,iOS,Referral,45+
383,2026-06-05,Android,Search,45+
384,2026-06-14,Android,Referral,25-34
385,2026-06-14,iOS,Referral,45+
386,2026-06-04,iOS,Referral,45+
387,2026-05-20,Android,Organic,25-34
388,2026-06-15,Android,Organic,18-24
389,2026-08-01,iOS,Referral,25-34
390,2026-07-08,iOS,Referral,35-44
391,2026-07-29,Android,Organic,18-24
392,2026-07-03,Android,Search,25-34
393,2026-06-05,iOS,Search,25-34
394,2026-06-27,Android,Organic,45+
395,2026-05-09,iOS,Search,18-24
396,2026-06-03,Android,Organic,35-44
397,2026-06-16,Android,Search,45+
398,2026-06-30,Android,Organic,45+
399,2026-07-06,iOS,Referral,25-34
400,2026-06-19,Android,Referral,18-24
401,2026-06-17,Android,Organic,25-34
402,2026-05-28,Android,Search,18-24
403,2026-06-20,Android,Referral,35-44
404,2026-07-29,iOS,Referral,25-34
405,2026-07-19,iOS,Organic,25-34
406,2026-05-24,Android,Referral,25-34
407,2026-05-16,iOS,Organic,25-34
408,2026-06-24,Android,Paid Social,25-34
409,2026-07-04,iOS,Organic,25-34
410,2026-06-08,Android,Search,45+
411,2026-07-21,Android,Referral,25-34
412,2026-07-15,Android,Organic,45+
413,2026-07-08,Android,Referral,35-44
414,2026-05-29,iOS,Referral,18-24
415,2026-05-26,Android,Search,45+
416,2026-05-11,iOS,Organic,35-44
417,2026-05-31,Android,Organic,18-24
418,2026-06-20,Android,Search,18-24
419,2026-07-24,Android,Paid Social,35-44
420,2026-05-15,Android,Paid Social,18-24
421,2026-06-15,Android,Organic,35-44
422,2026-07-04,iOS,Paid Social,18-24
423,2026-05-26,iOS,Search,45+
424,2026-07-10,iOS,Referral,35-44
425,2026-06-22,Android,Search,45+
426,2026-05-30,Android,Organic,35-44
427,2026-07-07,iOS,Referral,18-24
428,2026-05-09,Android,Referral,35-44
429,2026-07-15,iOS,Referral,18-24
430,2026-07-17,iOS,Referral,35-44
431,2026-05-18,Android,Paid Social,18-24
432,2026-06-16,Android,Search,35-44
433,2026-05-24,iOS,Organic,45+
434,2026-08-03,Android,Organic,35-44
435,2026-06-24,Android,Paid Social,25-34
436,2026-05-13,Android,Search,25-34
437,2026-05-31,iOS,Paid Social,25-34
438,2026-07-24,iOS,Referral,18-24
439,2026-06-19,iOS,Referral,25-34
440,2026-07-20,Android,Paid Social,25-34
441,2026-07-08,iOS,Paid Social,45+
442,2026-08-05,iOS,Search,35-44
443,2026-07-01,iOS,Search,35-44
444,2026-08-02,Android,Paid Social,25-34
445,2026-07-28,Android,Search,25-34
446,2026-07-03,Android,Search,45+
447,2026-07-12,Android,Search,45+
448,2026-06-23,iOS,Paid Social,25-34
449,2026-07-22,Android,Organic,45+
450,2026-06-27,Android,Organic,18-24
451,2026-07-28,Android,Organic,25-34
452,2026-07-14,Android,Search,25-34
453,2026-06-20,Android,Organic,25-34
454,2026-06-01,Android,Referral,18-24
455,2026-05-31,Android,Organic,45+
456,2026-07-05,Android,Paid Social,45+
457,2026-07-16,iOS,Referral,25-34
458,2026-06-24,iOS,Referral,18-24
459,2026-07-04,Android,Paid Social,25-34
460,2026-06-02,iOS,Referral,45+
461,2026-05-15,iOS,Search,45+
462,2026-06-03,iOS,Organic,18-24
463,2026-06-02,Android,Paid Social,25-34
464,2026-06-06,Android,Organic,35-44
465,2026-06-26,iOS,Referral,18-24
466,2026-05-21,iOS,Paid Social,45+
467,2026-05-29,Android,Organic,18-24
468,2026-07-10,Android,Organic,25-34
469,2026-07-11,iOS,Referral,45+
470,2026-05-14,iOS,Referral,25-34
471,2026-06-14,Android,Paid Social,18-24
472,2026-06-26,Android,Organic,18-24
473,2026-06-15,Android,Search,18-24
474,2026-05-27,Android,Referral,35-44
475,2026-06-15,iOS,Referral,18-24
476,2026-07-29,Android,Paid Social,18-24
477,2026-06-30,Android,Paid Social,18-24
478,2026-07-10,Android,Referral,25-34
479,2026-07-25,Android,Search,25-34
480,2026-07-16,iOS,Organic,45+
481,2026-06-12,iOS,Referral,25-34
482,2026-05-09,iOS,Paid Social,18-24
483,2026-06-09,Android,Referral,45+
484,2026-07-15,Android,Referral,18-24
485,2026-07-24,iOS,Referral,35-44
486,2026-08-02,iOS,Referral,35-44
487,2026-06-15,iOS,Referral,45+
488,2026-07-15,Android,Search,45+
489,2026-06-27,Android,Paid Social,45+
490,2026-07-02,Android,Referral,35-44
491,2026-05-28,iOS,Search,18-24
492,2026-05-28,Android,Paid Social,35-44
493,2026-06-17,Android,Organic,18-24
494,2026-05-11,Android,Referral,35-44
495,2026-06-08,Android,Search,25-34
496,2026-07-09,Android,Referral,45+
497,2026-06-14,iOS,Referral,45+
498,2026-05-23,Android,Organic,18-24
499,2026-06-20,Android,Referral,25-34
500,2026-05-20,iOS,Paid Social,45+
501,2026-07-04,iOS,Paid Social,18-24
502,2026-05-11,iOS,Referral,35-44
503,2026-06-13,Android,Organic,25-34
504,2026-06-28,Android,Referral,35-44
505,2026-05-11,Android,Organic,25-34
506,2026-07-05,Android,Search,35-44
507,2026-05-21,Android,Paid Social,18-24
508,2026-06-19,iOS,Paid Social,45+
509,2026-05-13,Android,Organic,35-44
510,2026-06-12,Android,Search,25-34
511,2026-05-28,Android,Search,25-34
512,2026-06-07,iOS,Paid Social,18-24
513,2026-07-16,Android,Paid Social,45+
514,2026-06-12,iOS,Referral,35-44
515,2026-07-15,iOS,Referral,35-44
516,2026-07-22,iOS,Paid Social,35-44
517,2026-05-31,iOS,Organic,25-34
518,2026-05-16,iOS,Paid Social,45+
519,2026-05-10,iOS,Referral,35-44
520,2026-06-26,Android,Paid Social,18-24
521,2026-08-06,iOS,Referral,45+
522,2026-06-09,Android,Search,45+
523,2026-07-06,iOS,Paid Social,35-44
524,2026-07-18,iOS,Search,45+
525,2026-07-06,Android,Paid Social,25-34
526,2026-07-15,iOS,Search,18-24
527,2026-08-02,iOS,Paid Social,35-44
528,2026-05-26,iOS,Paid Social,35-44
529,2026-05-10,iOS,Referral,35-44
530,2026-05-22,iOS,Referral,25-34
531,2026-05-20,Android,Paid Social,35-44
532,2026-07-08,iOS,Paid Social,25-34
533,2026-06-28,iOS,Referral,18-24
534,2026-05-28,iOS,Organic,18-24
535,2026-07-10,Android,Paid Social,45+
536,2026-07-17,iOS,Search,35-44
537,2026-05-24,Android,Search,25-34
538,2026-07-02,Android,Referral,45+
539,2026-07-15,iOS,Organic,25-34
540,2026-05-19,Android,Search,45+
541,2026-07-21,Android,Paid Social,35-44
542,2026-08-03,iOS,Referral,35-44
543,2026-05-18,Android,Search,25-34
544,2026-05-11,Android,Organic,35-44
545,2026-06-06,iOS,Search,18-24
546,2026-07-08,Android,Search,25-34
547,2026-08-03,iOS,Organic,18-24
548,2026-06-13,Android,Search,45+
549,2026-07-12,iOS,Paid Social,35-44
550,2026-05-15,Android,Paid Social,25-34
551,2026-07-10,Android,Search,45+
552,2026-07-04,Android,Search,18-24
553,2026-05-18,iOS,Search,45+
554,2026-07-17,iOS,Paid Social,35-44
555,2026-07-24,iOS,Organic,35-44
556,2026-07-02,Android,Search,35-44
557,2026-05-19,iOS,Organic,45+
558,2026-08-05,iOS,Referral,35-44
559,2026-07-18,Android,Referral,18-24
560,2026-06-09,Android,Organic,25-34
561,2026-06-16,Android,Referral,18-24
562,2026-06-11,Android,Search,35-44
563,2026-06-23,iOS,Paid Social,18-24
564,2026-06-08,Android,Referral,35-44
565,2026-07-24,Android,Paid Social,25-34
566,2026-07-22,Android,Organic,18-24
567,2026-05-18,iOS,Paid Social,35-44
568,2026-08-03,Android,Search,25-34
569,2026-07-05,iOS,Referral,35-44
570,2026-07-22,iOS,Search,35-44
571,2026-07-11,Android,Search,35-44
572,2026-06-17,Android,Organic,35-44
573,2026-07-14,Android,Organic,45+
574,2026-08-03,Android,Organic,45+
575,2026-06-02,Android,Paid Social,18-24
576,2026-07-20,Android,Paid Social,45+
577,2026-06-26,iOS,Paid Social,18-24
578,2026-06-21,iOS,Paid Social,18-24
579,2026-06-17,Android,Referral,45+
580,2026-07-13,iOS,Search,25-34
581,2026-06-02,Android,Search,18-24
582,2026-07-24,iOS,Paid Social,35-44
583,2026-07-22,Android,Search,35-44
584,2026-05-16,iOS,Search,35-44
585,2026-07-27,Android,Referral,45+
586,2026-05-30,iOS,Paid Social,35-44
587,2026-06-19,Android,Paid Social,35-44
588,2026-07-02,Android,Paid Social,45+
589,2026-06-12,Android,Search,35-44
590,2026-05-11,Android,Referral,18-24
591,2026-07-24,Android,Search,35-44
592,2026-05-25,iOS,Referral,18-24
593,2026-05-28,Android,Organic,35-44
594,2026-07-19,Android,Referral,45+
595,2026-06-08,iOS,Paid Social,35-44
596,2026-07-27,Android,Paid Social,18-24
597,2026-07-11,iOS,Paid Social,18-24
598,2026-06-02,iOS,Paid Social,18-24
599,2026-05-09,iOS,Search,35-44
600,2026-08-02,Android,Organic,25-34
601,2026-05-16,iOS,Paid Social,45+
602,2026-07-12,Android,Search,25-34
603,2026-06-21,Android,Referral,35-44
604,2026-07-16,iOS,Organic,25-34
605,2026-07-10,iOS,Paid Social,45+
606,2026-07-06,iOS,Organic,45+
607,2026-06-22,Android,Paid Social,35-44
608,2026-07-19,iOS,Organic,35-44
609,2026-05-17,iOS,Referral,35-44
610,2026-05-28,Android,Search,25-34
611,2026-07-10,Android,Referral,25-34
612,2026-06-05,iOS,Referral,25-34
613,2026-06-30,Android,Referral,25-34
614,2026-06-20,iOS,Referral,35-44
615,2026-06-25,iOS,Paid Social,45+
616,2026-06-16,Android,Referral,18-24
617,2026-07-15,Android,Organic,25-34
618,2026-06-07,iOS,Search,35-44
619,2026-07-11,iOS,Organic,35-44
620,2026-06-02,Android,Paid Social,45+
621,2026-05-31,Android,Referral,35-44
622,2026-05-19,iOS,Referral,35-44
623,2026-05-26,iOS,Organic,18-24
624,2026-05-19,Android,Referral,25-34
625,2026-06-26,Android,Referral,18-24
626,2026-07-16,Android,Referral,25-34
627,2026-05-25,iOS,Paid Social,45+
628,2026-05-28,iOS,Search,35-44
629,2026-06-21,Android,Search,25-34
630,2026-07-13,iOS,Organic,45+
631,2026-08-04,Android,Organic,18-24
632,2026-06-25,iOS,Paid Social,25-34
633,2026-06-03,iOS,Referral,45+
634,2026-05-18,iOS,Paid Social,45+
635,2026-05-26,iOS,Search,18-24
636,2026-05-29,Android,Paid Social,45+
637,2026-05-25,Android,Organic,45+
638,2026-05-10,Android,Organic,45+
639,2026-06-26,Android,Organic,25-34
640,2026-06-02,iOS,Organic,45+
641,2026-08-04,Android,Organic,18-24
642,2026-06-27,iOS,Search,18-24
643,2026-07-10,Android,Search,25-34
644,2026-05-20,iOS,Search,35-44
645,2026-07-26,Android,Search,45+
646,2026-06-22,Android,Organic,25-34
647,2026-07-26,Android,Organic,25-34
648,2026-06-29,Android,Paid Social,25-34
649,2026-06-20,iOS,Organic,35-44
650,2026-06-17,Android,Search,45+
651,2026-05-25,iOS,Paid Social,45+
652,2026-05-13,Android,Paid Social,35-44
653,2026-08-01,iOS,Organic,18-24
654,2026-06-20,Android,Organic,25-34
655,2026-07-21,iOS,Organic,18-24
656,2026-06-14,iOS,Search,18-24
657,2026-05-15,iOS,Organic,45+
658,2026-07-04,Android,Paid Social,25-34
659,2026-05-13,iOS,Paid Social,35-44
660,2026-05-22,iOS,Referral,35-44
661,2026-06-28,iOS,Referral,25-34
662,2026-06-05,iOS,Search,35-44
663,2026-08-06,Android,Organic,25-34
664,2026-05-19,Android,Search,18-24
665,2026-07-16,Android,Search,35-44
666,2026-07-02,Android,Search,25-34
667,2026-07-19,Android,Search,25-34
668,2026-05-29,Android,Paid Social,25-34
669,2026-06-25,Android,Paid Social,45+
670,2026-06-18,iOS,Search,45+
671,2026-06-17,iOS,Search,25-34
672,2026-07-25,Android,Paid Social,35-44
673,2026-08-06,iOS,Search,35-44
674,2026-06-05,iOS,Paid Social,18-24
675,2026-07-03,Android,Search,18-24
676,2026-07-02,iOS,Paid Social,25-34
677,2026-07-14,Android,Paid Social,35-44
678,2026-08-02,Android,Organic,25-34
679,2026-05-27,iOS,Organic,45+
680,2026-05-27,iOS,Paid Social,45+
